Name,geometry_layer,wkt
,"Section #39, 132kV, 'ad400', from Str. #704 Set 25 'AG-P5' to Str. #707 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0637796781 47.4070958906 381.88, 8.0637802783 47.407095335 380.2818))"
,"Section #39, 132kV, 'ad400', from Str. #704 Set 25 'AG-P5' to Str. #707 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0622127871 47.4063045305 375.34, 8.0621863971 47.4062911638 375.3354, 8.0621600072 47.4062777971 375.3411, 8.0621336173 47.4062644305 375.3572, 8.0621072274 47.4062510638 375.3834, 8.0620808375 47.4062376971 375.42, 8.0620544476 47.4062243304 375.4669, 8.0620280577 47.4062109638 375.5241, 8.0620016679 47.4061975971 375.5916, 8.0619752781 47.4061842304 375.6693, 8.0619488882 47.4061708636 375.7574, 8.0619224984 47.4061574969 375.8558, 8.0618961086 47.4061441302 375.9644, 8.0618697188 47.4061307635 376.0834, 8.0618433291 47.4061173968 376.2126, 8.0618169393 47.40610403 376.3522, 8.0617905496 47.4060906633 376.5021, 8.0617641598 47.4060772965 376.6623, 8.0617377701 47.4060639298 376.8328, 8.0617113804 47.406050563 377.0136, 8.0616849907 47.4060371962 377.2048, 8.0616586011 47.4060238295 377.4062, 8.0616322114 47.4060104627 377.618, 8.0616058217 47.4059970959 377.8401, 8.0615794321 47.4059837291 378.0726, 8.0615530425 47.4059703623 378.3154, 8.0615266529 47.4059569955 378.5685, 8.0615002633 47.4059436287 378.832, 8.0614738737 47.4059302619 379.1059, 8.0614474841 47.405916895 379.39, 8.0614210946 47.4059035282 379.6846, 8.061394705 47.4058901614 379.9895, 8.0613683155 47.4058767945 380.3048, 8.061341926 47.4058634277 380.6305, 8.0613155365 47.4058500608 380.9665, 8.061289147 47.405836694 381.3129, 8.0612627575 47.4058233271 381.6698, 8.061236368 47.4058099602 382.037, 8.0612099786 47.4057965933 382.4146, 8.0611835891 47.4057832265 382.8027, 8.0611571997 47.4057698596 383.2011, 8.0611308103 47.4057564927 383.61, 8.0611044209 47.4057431258 384.0294, 8.0610780315 47.4057297589 384.4591, 8.0610516422 47.4057163919 384.8993, 8.0610252528 47.405703025 385.35))"
,"Section #39, 132kV, 'ad400', from Str. #704 Set 25 'AG-P5' to Str. #707 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0622127556 47.4063045591 376.94, 8.0622127871 47.4063045305 375.34))"
Section #40,"Section #40, 132kV, 'ad400', from Str. #704 Set 26 'AG-P6' to Str. #707 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'",POINT Z (8.0645867712 47.4074959664 374.1333)
,"Section #40, 132kV, 'ad400', from Str. #704 Set 26 'AG-P6' to Str. #707 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0654190488 47.4079028376 380.78, 8.0653825322 47.4078849862 380.2776, 8.0653460157 47.4078671347 379.7947, 8.0653094991 47.4078492833 379.3311, 8.0652729826 47.4078314318 378.887, 8.0652364661 47.4078135804 378.4622, 8.0651999496 47.4077957289 378.0568, 8.0651634332 47.4077778774 377.6708, 8.0651269168 47.4077600259 377.3041, 8.0650904004 47.4077421744 376.9567, 8.065053884 47.4077243229 376.6287, 8.0650173677 47.4077064713 376.32, 8.0649808513 47.4076886198 376.0306, 8.064944335 47.4076707682 375.7605, 8.0649078188 47.4076529167 375.5096, 8.0648713025 47.4076350651 375.278, 8.0648347863 47.4076172135 375.0658, 8.0647982701 47.4075993619 374.8727, 8.0647617539 47.4075815103 374.6989, 8.0647252378 47.4075636587 374.5444, 8.0646887216 47.407545807 374.4091, 8.0646522055 47.4075279554 374.2931, 8.0646156895 47.4075101037 374.1963, 8.0645791734 47.407492252 374.1187, 8.0645426574 47.4074744003 374.0604, 8.0645061414 47.4074565486 374.0213, 8.0644696254 47.4074386969 374.0014, 8.0644331094 47.4074208452 374.0008, 8.0643965935 47.4074029935 374.0193, 8.0643600776 47.4073851417 374.0571, 8.0643235617 47.40736729 374.1142, 8.0642870458 47.4073494382 374.1905, 8.06425053 47.4073315864 374.286, 8.0642140142 47.4073137347 374.4007, 8.0641774984 47.4072958829 374.5347, 8.0641409827 47.407278031 374.6879, 8.0641044669 47.4072601792 374.8604, 8.0640679512 47.4072423274 375.0521, 8.0640314355 47.4072244755 375.2631, 8.0639949199 47.4072066237 375.4934, 8.0639584042 47.4071887718 375.7429, 8.0639218886 47.4071709199 376.0117, 8.063885373 47.407153068 376.2998, 8.0638488575 47.4071352161 376.6072, 8.0638123419 47.4071173642 376.934, 8.0637758264 47.4070995123 377.28), (8.0637758264 47.4070995123 377.28, 8.0637406283 47.4070822746 376.8422, 8.0637054302 47.4070650369 376.4225, 8.0636702321 47.4070477992 376.0208, 8.063635034 47.4070305615 375.637, 8.063599836 47.4070133238 375.2713, 8.063564638 47.4069960861 374.9236, 8.06352944 47.4069788484 374.5939, 8.063494242 47.4069616106 374.2821, 8.063459044 47.4069443729 373.9884, 8.0634238461 47.4069271351 373.7125, 8.0633886482 47.4069098974 373.4546, 8.0633534503 47.4068926596 373.2147, 8.0633182525 47.4068754218 372.9926, 8.0632830546 47.406858184 372.7885, 8.0632478568 47.4068409462 372.6024, 8.063212659 47.4068237083 372.4341, 8.0631774613 47.4068064705 372.2837, 8.0631422635 47.4067892326 372.1513, 8.0631070658 47.4067719948 372.0367, 8.0630718681 47.4067547569 371.9401, 8.0630366704 47.406737519 371.8613, 8.0630014728 47.4067202811 371.8004, 8.0629662751 47.4067030432 371.7574, 8.0629310775 47.4066858053 371.7323, 8.0628958799 47.4066685674 371.7251, 8.0628606824 47.4066513295 371.7358, 8.0628254848 47.4066340915 371.7643, 8.0627902873 47.4066168535 371.8108, 8.0627550898 47.4065996156 371.8751, 8.0627198924 47.4065823776 371.9574, 8.0626846949 47.4065651396 372.0575, 8.0626494975 47.4065479016 372.1755, 8.0626143001 47.4065306636 372.3114, 8.0625791027 47.4065134256 372.4652, 8.0625439054 47.4064961875 372.637, 8.062508708 47.4064789495 372.8266, 8.0624735107 47.4064617114 373.0342, 8.0624383134 47.4064444734 373.2597, 8.0624031162 47.4064272353 373.5031, 8.0623679189 47.4064099972 373.7644, 8.0623327217 47.4063927591 374.0437, 8.0622975245 47.406375521 374.341, 8.0622623273 47.4063582829 374.6562, 8.0622271302 47.4063410448 374.9894, 8.062191933 47.4063238066 375.3406))"
,"Section #40, 132kV, 'ad400', from Str. #704 Set 26 'AG-P6' to Str. #707 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0637758005 47.4070995367 378.88, 8.0637758264 47.4070995123 377.28))"
,"Section #40, 132kV, 'ad400', from Str. #704 Set 26 'AG-P6' to Str. #707 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.062191933 47.4063238066 375.3406, 8.0621656399 47.4063104904 375.3376, 8.0621393468 47.4062971742 375.3449, 8.0621130537 47.406283858 375.3623, 8.0620867606 47.4062705418 375.39, 8.0620604675 47.4062572256 375.4279, 8.0620341744 47.4062439094 375.476, 8.0620078813 47.4062305932 375.5343, 8.0619815883 47.4062172769 375.6028, 8.0619552952 47.4062039607 375.6816, 8.0619290022 47.4061906444 375.7706, 8.0619027092 47.4061773282 375.8698, 8.0618764162 47.4061640119 375.9793, 8.0618501232 47.4061506957 376.0989, 8.0618238303 47.4061373794 376.2289, 8.0617975373 47.4061240631 376.369, 8.0617712443 47.4061107468 376.5194, 8.0617449514 47.4060974306 376.68, 8.0617186585 47.4060841143 376.8509, 8.0616923656 47.406070798 377.032, 8.0616660727 47.4060574817 377.2233, 8.0616397798 47.4060441654 377.4249, 8.061613487 47.406030849 377.6368, 8.0615871941 47.4060175327 377.8589, 8.0615609013 47.4060042164 378.0912, 8.0615346084 47.4059909001 378.3339, 8.0615083156 47.4059775837 378.5868, 8.0614820228 47.4059642674 378.85, 8.06145573 47.405950951 379.1234, 8.0614294373 47.4059376347 379.4072, 8.0614031445 47.4059243183 379.7012, 8.0613768518 47.4059110019 380.0055, 8.061350559 47.4058976855 380.3201, 8.0613242663 47.4058843692 380.6451, 8.0612979736 47.4058710528 380.9803, 8.0612716809 47.4058577364 381.3258, 8.0612453882 47.40584442 381.6817, 8.0612190956 47.4058311036 382.0479, 8.0611928029 47.4058177871 382.4244, 8.0611665103 47.4058044707 382.8113, 8.0611402176 47.4057911543 383.2085, 8.061113925 47.4057778379 383.6161, 8.0610876324 47.4057645214 384.034, 8.0610613398 47.405751205 384.4623, 8.0610350472 47.4057378885 384.901, 8.0610087547 47.4057245721 385.35))"
,"Section #40, 132kV, 'ad400', from Str. #704 Set 26 'AG-P6' to Str. #707 Set 46
                    'AD-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0621915815 47.4063241319 376.94, 8.062191933 47.4063238066 375.3406))"
Section #41,"Section #41, 0kV, 'Erdseil200', from Str. #704 Set 39 'AG-G1' to Str. #705 Set
                    59 'AD-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'",POINT Z (8.064583963 47.4075178321 384.0403)
,"Section #41, 0kV, 'Erdseil200', from Str. #704 Set 39 'AG-G1' to Str. #705 Set
                    59 'AD-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'","MULTILINESTRING Z ((8.0654076435 47.4079215347 388.28, 8.0653710351 47.4079035924 387.9622, 8.0653344267 47.4078856501 387.6565, 8.0652978184 47.4078677079 387.3629, 8.06526121 47.4078497655 387.0813, 8.0652246017 47.4078318232 386.8117, 8.0651879934 47.4078138809 386.5541, 8.0651513852 47.4077959386 386.3086, 8.065114777 47.4077779962 386.0752, 8.0650781687 47.4077600539 385.8537, 8.0650415606 47.4077421115 385.6443, 8.0650049524 47.4077241691 385.4469, 8.0649683443 47.4077062267 385.2615, 8.0649317362 47.4076882843 385.0882, 8.0648951281 47.4076703419 384.9268, 8.06485852 47.4076523994 384.7775, 8.064821912 47.407634457 384.6402, 8.064785304 47.4076165145 384.5149, 8.064748696 47.4075985721 384.4016, 8.064712088 47.4075806296 384.3003, 8.0646754801 47.4075626871 384.211, 8.0646388722 47.4075447446 384.1337, 8.0646022643 47.4075268021 384.0684, 8.0645656565 47.4075088596 384.0151, 8.0645290486 47.407490917 383.9739, 8.0644924408 47.4074729745 383.9446, 8.064455833 47.4074550319 383.9273, 8.0644192253 47.4074370894 383.922, 8.0643826175 47.4074191468 383.9288, 8.0643460098 47.4074012042 383.9475, 8.0643094021 47.4073832616 383.9782, 8.0642727945 47.407365319 384.021, 8.0642361868 47.4073473763 384.0757, 8.0641995792 47.4073294337 384.1424, 8.0641629716 47.407311491 384.2212, 8.0641263641 47.4072935484 384.3119, 8.0640897565 47.4072756057 384.4147, 8.064053149 47.407257663 384.5294, 8.0640165415 47.4072397203 384.6562, 8.0639799341 47.4072217776 384.795, 8.0639433266 47.4072038349 384.9458, 8.0639067192 47.4071858921 385.1086, 8.0638701118 47.4071679494 385.2834, 8.0638335044 47.4071500066 385.4703, 8.0637968971 47.4071320638 385.6691, 8.0637602898 47.4071141211 385.88))"
Section #42,"Section #42, 132kV, 'ad400', from Str. #704 Set 42 'AD-P2' to Str. #707 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.0645569802 47.4075323999 377.0658)
,"Section #42, 132kV, 'ad400', from Str. #704 Set 42 'AD-P2' to Str. #707 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0653949709 47.4079423093 383.78, 8.0653582002 47.4079243229 383.2717, 8.0653214296 47.4079063365 382.7831, 8.065284659 47.4078883501 382.3141, 8.0652478884 47.4078703637 381.8649, 8.0652111178 47.4078523773 381.4353, 8.0651743473 47.4078343908 381.0253, 8.0651375768 47.4078164044 380.635, 8.0651008063 47.4077984179 380.2643, 8.0650640359 47.4077804314 379.9132, 8.0650272654 47.407762445 379.5817, 8.064990495 47.4077444585 379.2697, 8.0649537246 47.407726472 378.9774, 8.0649169543 47.4077084854 378.7046, 8.0648801839 47.4076904989 378.4514, 8.0648434136 47.4076725124 378.2177, 8.0648066434 47.4076545258 378.0035, 8.0647698731 47.4076365392 377.8089, 8.0647331029 47.4076185527 377.6338, 8.0646963327 47.4076005661 377.4783, 8.0646595625 47.4075825795 377.3422, 8.0646227923 47.4075645929 377.2257, 8.0645860222 47.4075466062 377.1287, 8.0645492521 47.4075286196 377.0511, 8.064512482 47.4075106329 376.9931, 8.0644757119 47.4074926463 376.9546, 8.0644389419 47.4074746596 376.9356, 8.0644021719 47.4074566729 376.936, 8.0643654019 47.4074386862 376.956, 8.0643286319 47.4074206995 376.9955, 8.064291862 47.4074027128 377.0545, 8.0642550921 47.4073847261 377.1329, 8.0642183222 47.4073667393 377.2309, 8.0641815523 47.4073487526 377.3484, 8.0641447825 47.4073307658 377.4854, 8.0641080127 47.407312779 377.6419, 8.0640712429 47.4072947922 377.8179, 8.0640344731 47.4072768054 378.0135, 8.0639977034 47.4072588186 378.2286, 8.0639609337 47.4072408318 378.4632, 8.063924164 47.407222845 378.7174, 8.0638873943 47.4072048581 378.9911, 8.0638506247 47.4071868712 379.2844, 8.0638138551 47.4071688844 379.5973, 8.0637770855 47.4071508975 379.9298, 8.0637403159 47.4071329106 380.2818), (8.0637403159 47.4071329106 380.2818, 8.0637047813 47.4071159711 379.7766, 8.0636692467 47.4070990315 379.2896, 8.0636337121 47.407082092 378.8206, 8.0635981775 47.4070651524 378.3696, 8.0635626429 47.4070482128 377.9368, 8.0635271084 47.4070312732 377.522, 8.0634915739 47.4070143337 377.1252, 8.0634560394 47.406997394 376.7464, 8.0634205049 47.4069804544 376.3857, 8.0633849705 47.4069635148 376.0429, 8.0633494361 47.4069465752 375.7182, 8.0633139017 47.4069296355 375.4114, 8.0632783673 47.4069126958 375.1226, 8.0632428329 47.4068957562 374.8517, 8.0632072986 47.4068788165 374.5988, 8.0631717643 47.4068618768 374.3639, 8.06313623 47.4068449371 374.1469, 8.0631006958 47.4068279974 373.9478, 8.0630651615 47.4068110576 373.7666, 8.0630296273 47.4067941179 373.6034, 8.0629940931 47.4067771781 373.4581, 8.0629585589 47.4067602384 373.3307, 8.0629230248 47.4067432986 373.2212, 8.0628874907 47.4067263588 373.1296, 8.0628519566 47.406709419 373.0559, 8.0628164225 47.4066924792 373.0001, 8.0627808884 47.4066755394 372.9623, 8.0627453544 47.4066585996 372.9423, 8.0627098204 47.4066416597 372.9402, 8.0626742864 47.4066247199 372.956, 8.0626387524 47.40660778 372.9897, 8.0626032185 47.4065908402 373.0413, 8.0625676845 47.4065739003 373.1108, 8.0625321506 47.4065569604 373.1982, 8.0624966168 47.4065400205 373.3035, 8.0624610829 47.4065230806 373.4267, 8.0624255491 47.4065061406 373.5679, 8.0623900153 47.4064892007 373.7269, 8.0623544815 47.4064722608 373.9039, 8.0623189477 47.4064553208 374.0988, 8.062283414 47.4064383808 374.3116, 8.0622478802 47.4064214408 374.5424, 8.0622123466 47.4064045008 374.7911, 8.0621768129 47.4063875608 375.0577, 8.0621412792 47.4063706208 375.3423))"
,"Section #42, 132kV, 'ad400', from Str. #704 Set 42 'AD-P2' to Str. #707 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0637409014 47.4071323515 381.88, 8.0637403159 47.4071329106 380.2818))"
,"Section #42, 132kV, 'ad400', from Str. #704 Set 42 'AD-P2' to Str. #707 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0621412792 47.4063706208 375.3423, 8.0621152291 47.406357417 375.3434, 8.062089179 47.4063442132 375.3545, 8.0620631289 47.4063310095 375.3756, 8.0620370789 47.4063178056 375.4068, 8.0620110288 47.4063046018 375.4479, 8.0619849787 47.406291398 375.4992, 8.0619589287 47.4062781942 375.5604, 8.0619328787 47.4062649904 375.6317, 8.0619068287 47.4062517865 375.713, 8.0618807787 47.4062385827 375.8044, 8.0618547287 47.4062253789 375.9058, 8.0618286787 47.406212175 376.0173, 8.0618026288 47.4061989712 376.1388, 8.0617765788 47.4061857673 376.2703, 8.0617505289 47.4061725634 376.4119, 8.061724479 47.4061593596 376.5635, 8.0616984291 47.4061461557 376.7252, 8.0616723792 47.4061329518 376.897, 8.0616463293 47.4061197479 377.0788, 8.0616202794 47.406106544 377.2707, 8.0615942296 47.4060933401 377.4726, 8.0615681797 47.4060801362 377.6846, 8.0615421299 47.4060669323 377.9067, 8.0615160801 47.4060537283 378.1389, 8.0614900303 47.4060405244 378.3811, 8.0614639805 47.4060273205 378.6334, 8.0614379307 47.4060141165 378.8958, 8.061411881 47.4060009126 379.1683, 8.0613858312 47.4059877086 379.4509, 8.0613597815 47.4059745047 379.7436, 8.0613337317 47.4059613007 380.0464, 8.061307682 47.4059480968 380.3593, 8.0612816323 47.4059348928 380.6824, 8.0612555826 47.4059216888 381.0155, 8.061229533 47.4059084848 381.3588, 8.0612034833 47.4058952808 381.7122, 8.0611774337 47.4058820768 382.0758, 8.061151384 47.4058688728 382.4495, 8.0611253344 47.4058556688 382.8333, 8.0610992848 47.4058424648 383.2273, 8.0610732352 47.4058292608 383.6315, 8.0610471856 47.4058160567 384.0459, 8.061021136 47.4058028527 384.4704, 8.0609950865 47.4057896487 384.9051, 8.0609690369 47.4057764446 385.35))"
,"Section #42, 132kV, 'ad400', from Str. #704 Set 42 'AD-P2' to Str. #707 Set 42
                    'AD-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0621406068 47.4063712514 376.94, 8.0621412792 47.4063706208 375.3423))"
Section #43,"Section #43, 0kV, 'Erdseil200', from Str. #705 Set 39 'AG-G1' to Str. #706 Set
                    39 'AG-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'",POINT Z (8.062968484 47.406726018 380.7335)
,"Section #43, 0kV, 'Erdseil200', from Str. #705 Set 39 'AG-G1' to Str. #706 Set
                    39 'AG-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'","MULTILINESTRING Z ((8.0637602898 47.4071141211 385.88, 8.063725098 47.4070968721 385.4947, 8.0636899062 47.407079623 385.124, 8.0636547144 47.407062374 384.7679, 8.0636195227 47.407045125 384.4263, 8.063584331 47.4070278759 384.0994, 8.0635491393 47.4070106269 383.787, 8.0635139476 47.4069933778 383.4893, 8.063478756 47.4069761287 383.206, 8.0634435644 47.4069588797 382.9374, 8.0634083728 47.4069416306 382.6833, 8.0633731812 47.4069243814 382.4437, 8.0633379897 47.4069071323 382.2187, 8.0633027981 47.4068898832 382.0083, 8.0632676066 47.406872634 381.8123, 8.0632324151 47.4068553849 381.631, 8.0631972237 47.4068381357 381.4641, 8.0631620322 47.4068208866 381.3118, 8.0631268408 47.4068036374 381.174, 8.0630916494 47.4067863882 381.0507, 8.0630564581 47.406769139 380.9419, 8.0630212667 47.4067518897 380.8476, 8.0629860754 47.4067346405 380.7679, 8.0629508841 47.4067173913 380.7027, 8.0629156928 47.406700142 380.652, 8.0628805016 47.4066828928 380.6158, 8.0628453103 47.4066656435 380.5941, 8.0628101191 47.4066483942 380.5869, 8.0627749279 47.4066311449 380.5942, 8.0627397368 47.4066138956 380.616, 8.0627045456 47.4065966463 380.6524, 8.0626693545 47.406579397 380.7033, 8.0626341634 47.4065621476 380.7686, 8.0625989723 47.4065448983 380.8485, 8.0625637813 47.4065276489 380.9429, 8.0625285903 47.4065103996 381.0518, 8.0624933992 47.4064931502 381.1753, 8.0624582083 47.4064759008 381.3132, 8.0624230173 47.4064586514 381.4657, 8.0623878264 47.406441402 381.6327, 8.0623526355 47.4064241525 381.8142, 8.0623174446 47.4064069031 382.0103, 8.0622822537 47.4063896537 382.2209, 8.0622470629 47.4063724042 382.4461, 8.062211872 47.4063551547 382.6858, 8.0621766812 47.4063379053 382.94))"
Section #44,"Section #44, 0kV, 'Erdseil200', from Str. #706 Set 40 'AG-G2' to Str. #707 Set
                    40 'AG-G2', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'",POINT Z (8.0615869053 47.4060388193 381.3706)
,"Section #44, 0kV, 'Erdseil200', from Str. #706 Set 40 'AG-G2' to Str. #707 Set
                    40 'AG-G2', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'","MULTILINESTRING Z ((8.0621766812 47.4063379053 377.94, 8.062150469 47.4063246127 378.0596, 8.0621242568 47.4063113202 378.1823, 8.0620980447 47.4062980276 378.308, 8.0620718325 47.406284735 378.4368, 8.0620456203 47.4062714425 378.5687, 8.0620194082 47.4062581499 378.7036, 8.0619931961 47.4062448573 378.8415, 8.0619669839 47.4062315647 378.9825, 8.0619407718 47.4062182721 379.1266, 8.0619145598 47.4062049795 379.2737, 8.0618883477 47.4061916869 379.4239, 8.0618621356 47.4061783943 379.5771, 8.0618359236 47.4061651017 379.7334, 8.0618097115 47.4061518091 379.8927, 8.0617834995 47.4061385165 380.0551, 8.0617572875 47.4061252238 380.2206, 8.0617310755 47.4061119312 380.3891, 8.0617048635 47.4060986385 380.5607, 8.0616786515 47.4060853459 380.7353, 8.0616524396 47.4060720532 380.913, 8.0616262276 47.4060587606 381.0937, 8.0616000157 47.4060454679 381.2775, 8.0615738038 47.4060321752 381.4644, 8.0615475919 47.4060188825 381.6543, 8.06152138 47.4060055899 381.8473, 8.0614951681 47.4059922972 382.0433, 8.0614689562 47.4059790045 382.2425, 8.0614427444 47.4059657118 382.4446, 8.0614165326 47.405952419 382.6498, 8.0613903207 47.4059391263 382.8581, 8.0613641089 47.4059258336 383.0695, 8.0613378971 47.4059125409 383.2839, 8.0613116853 47.4058992481 383.5014, 8.0612854735 47.4058859554 383.7219, 8.0612592618 47.4058726626 383.9455, 8.06123305 47.4058593699 384.1722, 8.0612068383 47.4058460771 384.4019, 8.0611806266 47.4058327844 384.6347, 8.0611544149 47.4058194916 384.8705, 8.0611282032 47.4058061988 385.1094, 8.0611019915 47.405792906 385.3514, 8.0610757798 47.4057796132 385.5965, 8.0610495682 47.4057663204 385.8446, 8.0610233565 47.4057530276 386.0958, 8.0609971449 47.4057397348 386.35))"
Section #45,"Section #45, 132kV, 'ad400', from Str. #707 Set 22 'AG-P2' to Str. #708 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.059386522 47.4054271356 374.5116)
,"Section #45, 132kV, 'ad400', from Str. #707 Set 22 'AG-P2' to Str. #708 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0609690369 47.4057764446 385.35, 8.060898703 47.4057609203 384.3931, 8.060828369 47.405745396 383.4807, 8.0607580351 47.4057298716 382.6127, 8.0606877013 47.4057143472 381.7891, 8.0606173674 47.4056988228 381.0098, 8.0605470337 47.4056832983 380.2749, 8.0604766999 47.4056677737 379.5842, 8.0604063662 47.4056522491 378.9377, 8.0603360326 47.4056367245 378.3353, 8.060265699 47.4056211999 377.7771, 8.0601953654 47.4056056751 377.263, 8.0601250318 47.4055901504 376.7929, 8.0600546984 47.4055746256 376.3669, 8.0599843649 47.4055591007 375.9848, 8.0599140315 47.4055435759 375.6468, 8.0598436981 47.4055280509 375.3527, 8.0597733648 47.405512526 375.1025, 8.0597030315 47.4054970009 374.8963, 8.0596326983 47.4054814759 374.734, 8.0595623651 47.4054659508 374.6156, 8.0594920319 47.4054504256 374.541, 8.0594216988 47.4054349005 374.5104, 8.0593513657 47.4054193752 374.5237, 8.0592810327 47.40540385 374.5808, 8.0592106997 47.4053883246 374.6819, 8.0591403667 47.4053727993 374.8268, 8.0590700338 47.4053572739 375.0157, 8.0589997009 47.4053417484 375.2485, 8.0589293681 47.405326223 375.5252, 8.0588590353 47.4053106974 375.8458, 8.0587887025 47.4052951719 376.2105, 8.0587183698 47.4052796462 376.6191, 8.0586480372 47.4052641206 377.0718, 8.0585777045 47.4052485949 377.5685, 8.0585073719 47.4052330691 378.1092, 8.0584370394 47.4052175434 378.6941, 8.0583667069 47.4052020175 379.3232, 8.0582963744 47.4051864917 379.9964, 8.058226042 47.4051709657 380.7138, 8.0581557096 47.4051554398 381.4756, 8.0580853773 47.4051399138 382.2816, 8.058015045 47.4051243877 383.132, 8.0579447127 47.4051088617 384.0268, 8.0578743805 47.4050933355 384.9662, 8.0578040483 47.4050778094 385.95))"
Section #46,"Section #46, 132kV, 'ad400', from Str. #707 Set 23 'AG-P3' to Str. #708 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'",POINT Z (8.0594003491 47.4054038825 374.4666)
,"Section #46, 132kV, 'ad400', from Str. #707 Set 23 'AG-P3' to Str. #708 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'","MULTILINESTRING Z ((8.0609855351 47.4057548976 385.35, 8.0609150824 47.4057392975 384.3892, 8.0608446297 47.4057236973 383.473, 8.0607741771 47.4057080971 382.6015, 8.0607037245 47.4056924969 381.7745, 8.060633272 47.4056768966 380.992, 8.0605628195 47.4056612963 380.2541, 8.0604923671 47.4056456959 379.5605, 8.0604219147 47.4056300955 378.9113, 8.0603514623 47.4056144951 378.3065, 8.06028101 47.4055988946 377.746, 8.0602105577 47.405583294 377.2297, 8.0601401055 47.4055676934 376.7577, 8.0600696533 47.4055520928 376.3299, 8.0599992011 47.4055364922 375.9463, 8.059928749 47.4055208914 375.6068, 8.0598582969 47.4055052907 375.3115, 8.0597878449 47.4054896899 375.0603, 8.0597173929 47.4054740891 374.8531, 8.0596469409 47.4054584882 374.6901, 8.059576489 47.4054428873 374.5712, 8.0595060371 47.4054272863 374.4963, 8.0594355853 47.4054116853 374.4655, 8.0593651335 47.4053960842 374.4788, 8.0592946818 47.4053804831 374.5361, 8.0592242301 47.405364882 374.6375, 8.0591537784 47.4053492808 374.783, 8.0590833268 47.4053336796 374.9725, 8.0590128752 47.4053180783 375.2062, 8.0589424236 47.405302477 375.484, 8.0588719721 47.4052868756 375.8059, 8.0588015207 47.4052712742 376.1719, 8.0587310693 47.4052556728 376.5822, 8.0586606179 47.4052400713 377.0366, 8.0585901666 47.4052244698 377.5352, 8.0585197153 47.4052088682 378.0781, 8.058449264 47.4051932666 378.6653, 8.0583788128 47.4051776649 379.2968, 8.0583083616 47.4051620632 379.9727, 8.0582379105 47.4051464615 380.693, 8.0581674594 47.4051308597 381.4577, 8.0580970084 47.4051152579 382.267, 8.0580265574 47.405099656 383.1208, 8.0579561064 47.4050840541 384.0192, 8.0578856555 47.4050684521 384.9622, 8.0578152046 47.4050528501 385.95))"
Section #47,"Section #47, 132kV, 'ad400', from Str. #707 Set 25 'AG-P5' to Str. #708 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'",POINT Z (8.0594348264 47.4053452411 374.3566)
